state,state_id,election_lead,DEM_votes,REP_votes,dem_votes_%,rep_votes_%,TotalPop,percentageMen,percentageWomen,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Income,Poverty,ChildPoverty,Unemployment
Oklahoma,40,0.330599605,503890,1020280,33.0599605,66.9400395,3896251,49.5505808,50.4494192,1930615,1965636,10.12889236,66.44227995,7.150630285,7.10587824,2.04444806,0.147966468,26460.55744,50762,16.23137218,22.43556326,5.749233712
Oregon,41,0.583343905,1333467,952435,58.33439054,41.66560946,4025127,49.53438736,50.46561264,1993822,2031305,12.65170555,76.49975581,1.804868492,0.864733734,4.091232525,0.362035831,30410.05811,58392,14.9090696,19.12215992,6.905811394
Pennsylvania,42,0.50483813,3417479,3351976,50.48381295,49.51618705,12790505,48.94380636,51.05619364,6260160,6530345,6.838320481,77.25247607,10.61427266,0.118171057,3.232922586,0.00208217,31476.44995,56702,13.13256892,18.5706668,6.519947031
Rhode Island,44,0.776553633,60617,17442,77.65536325,22.34463675,765936,48.57964634,51.42035366,372089,393847,18.65211245,66.73772796,7.038839799,0.363532723,3.737453782,0.093598943,31462.19618,52530,15.24264273,21.86567964,7.143376992
South Carolina,45,0.440733913,1091541,1385103,44.07339125,55.92660875,4893444,48.57027075,51.42972925,2376759,2516685,5.450953909,63.7672839,27.00179869,0.268418459,1.45161136,0.060832657,26645.37878,47713,16.66271297,24.68975705,7.337399713
South Dakota,46,0.361523845,147642,260746,36.1523845,63.8476155,841153,50.36574797,49.63425203,423653,417500,3.50554798,84.01542549,1.687187943,6.914041679,1.383055401,0.035295957,29090.95222,53807,13.27195671,16.67911438,3.708206593
Tennessee,47,0.381164701,1139376,1849820,38.11647011,61.88352989,6597381,48.7628803,51.2371197,3217073,3380308,5.159686003,74.25938097,16.67089536,0.222114897,1.661377628,0.044503948,27276.78772,48415,16.68989425,24.43192385,6.669850703
Texas,48,0.47081289,5218943,5866019,47.08128905,52.91871095,27419612,49.66145035,50.33854965,13616977,13802635,38.93011016,42.85794648,11.66664512,0.254561957,4.465216481,0.078672448,28984.9102,57791,16.03756685,22.5561847,5.894348731
Utah,49,0.394918778,554028,848863,39.49187784,60.50812216,2993941,50.32210054,49.67789946,1506614,1487327,13.67202029,79.01614317,1.066474456,0.93463612,2.247690085,0.879788947,26906.68778,67922,11.01293563,12.70230663,4.385688729
Vermont,50,0.657897787,22708,11808,65.78977865,34.21022135,541918,49.19969442,50.80030558,266622,275296,1.845637163,92.94034503,1.261800863,0.259235715,1.687712717,0.023567772,32605.7923,60602,11.05112969,14.11042704,4.405048181
Virginia,51,0.628876383,6471953,3819343,62.88763825,37.11236175,19933878,49.10986212,50.89013788,9789500,10144378,11.2647465,57.58371778,16.93011404,0.155871141,10.63788381,0.026405946,41782.89143,103005,10.62724523,15.03064786,5.41256175
Washington,53,0.599803152,2356584,1572345,59.98031525,40.01968475,7169967,49.94287979,50.05712021,3580888,3589079,12.31224266,69.75797469,3.504902296,1.114846107,8.000001255,0.634294189,34869.17707,67832,12.25029504,15.52502581,6.101114357
West Virginia,54,0.30193739,235657,544826,30.19373901,69.80626099,1836843,49.41200745,50.58799255,907621,929222,1.477565911,92.2664176,3.513423684,0.17090998,0.754654589,0.020221598,24774.03398,42573,17.7990843,24.56221375,7.31087088
Wisconsin,55,0.503170002,1630619,1610073,50.3170002,49.6829998,5763217,49.69646293,50.30353707,2864115,2899102,6.608681089,81.81931256,6.243999662,0.810557784,2.632006569,0.011713475,30557.0437,56038,12.34650134,16.44600932,4.750824357
Wyoming,56,0.275195656,73491,193559,27.51956562,72.48043438,583200,51.14900549,48.85099451,298301,284899,9.718460391,84.30243793,0.989221879,2.04396845,0.843657579,0.066465878,31213.71537,60828,11.17820045,12.60793021,4.734683642
